EvenBs_DoubleReset
q0,q2,q3,q4,q5,q6,q7,qacc,qrej
$,a,b,B,_
$,a,b,B,_
q0
qacc
qrej
q0,$,q0,$,R
q0,a,q0,a,R
q0,B,q0,B,R
q0,b,q2,B,L
q0,_,qacc,_,L
q2,$,q3,$,L
q2,a,q2,a,R
q2,B,q2,B,R
q2,b,q2,b,R
q2,_,q2,_,R
q3,$,q4,$,R
q3,a,q3,a,R
q3,B,q3,B,R
q3,b,q3,b,R
q3,_,q3,_,R
q4,$,q4,$,R
q4,a,q4,a,R
q4,B,q4,B,R
q4,b,q5,B,L
q4,_,qrej,_,L
q5,$,q6,$,L
q5,a,q5,a,R
q5,B,q5,B,R
q5,b,q5,b,R
q5,_,q5,_,R
q6,$,q7,$,R
q6,a,q6,a,R
q6,B,q6,B,R
q6,b,q6,b,R
q6,_,q6,_,R
q7,$,q0,$,R
q7,a,q0,a,R
q7,B,q0,B,R
q7,b,q2,B,L
q7,_,qacc,_,L
